track_title,track_composers,track_genres,track_styles,track_moods,track_themes,album_title,album_release_date,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating
Aye Davanita,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",,,,,Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Immortality,"Dave Abbruzzese, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Angst-Ridden, Bittersweet, Intense, Melancholy, Poignant, Reflective, Searching, Urgent","Introspection, Reflection",Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
Stupidmop,"Jeff Ament, Stone Gossard, Jack Irons, Mike McCready, Eddie Vedder",,,,,Vitalogy,1994,55:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"November, 1993 - October, 1994","Atlanta, GA","Provocative, Volatile, Aggressive, Angry, Angst-Ridden, Bittersweet, Brooding, Cathartic, Complex, Freewheeling, Melancholy, Messy, Playful, Poignant, Quirky, Raucous, Reflective, Earnest, Fiery, Intense, Reckless, Searching, Tense/Anxious, Urgent, Visceral","Heartache, Introspection, Loss/Grief",4.5
I Got Id,"Jack Irons, Brendan O'Brien, Eddie Vedder, Neil Young",Pop/Rock,"Alternative/Indie Rock, Grunge","Brooding, Yearning","Feeling Blue, Loss/Grief, Reflection",Merkin Ball,1995,10:52,Alternative Pop/RockAlternative/Indie RockHard Rock,1995,,"Brooding, Reflective, Somber",,2.5
Long Road,"Jeff Ament, Jack Irons, Eddie Vedder, Neil Young",Pop/Rock,"Alternative/Indie Rock, Grunge","Brooding, Laid-Back/Mellow, Sad, Yearning","Feeling Blue, Loss/Grief",Merkin Ball,1995,10:52,Alternative Pop/RockAlternative/Indie RockHard Rock,1995,,"Brooding, Reflective, Somber",,2.5
Sometimes,Eddie Vedder,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Earnest, Freewheeling, Poignant, Quirky, Reflective",Imagination,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
"Hail, Hail","Carrie Akre, Jeff Ament, Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Brooding, Cathartic, Earnest, Raucous, Reflective, Rollicking, Rousing, Rowdy, Searching, Sentimental, Visceral, Volatile","Introspection, Reflection",No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Who You Are,"Stone Gossard, Jack Irons, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge","Yearning, Lively, Optimistic","Celebration, In Love, Seduction, Sex",No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
In My Tree,"Stone Gossard, Jack Irons, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Brooding, Cathartic, Earnest, Urgent, Visceral, Bittersweet, Dramatic, Energetic, Fiery, Intense, Poignant, Yearning, Raucous","Empowerment, Revolution",No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Smile,"Jeff Ament, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge","Aggressive, Angry, Brooding, Rousing, Yearning",In Love,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Off He Goes,Eddie Vedder,Pop/Rock,"Alternative Pop/Rock, Hard Rock, Alternative/Indie Rock, Grunge","Autumnal, Earnest, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Melancholy, Searching, Visceral, Aggressive, Brooding, Laid-Back/Mellow, Passionate, Poignant, Reflective, Yearning","Empowerment, Feeling Blue, Loss/Grief, Revolution",No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Habit,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge",Aggressive,,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Red Mosquito,"Pearl Jam, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge",Rousing,,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Lukin,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Brooding, Bittersweet, Cathartic, Earnest, Raucous, Reflective, Rollicking, Rousing, Rowdy, Searching, Sentimental, Visceral, Volatile, Wistful, Yearning","Introspection, Reflection, Regret, Reminiscing",No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Present Tense,"Mike McCready, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge",Yearning,,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Mankind,Stone Gossard,Pop/Rock,"Alternative/Indie Rock, Grunge","Brooding, Rousing",Politics/Society,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
I'm Open,"Jack Irons, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge","Brooding, Quirky",,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Around the Bend,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge","Calm/Peaceful, Nostalgic, Sentimental",,No Code,1996,49:30,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,"July 12, 1995 - May, 1996","Atlanta, GA","Autumnal, Brooding, Complex, Provocative, Urgent, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Fiery, Passionate, Warm, Angry, Bitter, Brash, Earnest, Freewheeling, Intense, Poignant, Quirky, Reflective, Rollicking, Rousing, Spiritual, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",3.5
Brain of J.,"Mike McCready, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge",Aggressive,Politics/Society,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Faithful,"Mike McCready, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge",Yearning,In Love,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
No Way,Stone Gossard,Pop/Rock,"Alternative/Indie Rock, Grunge",Brooding,Reflection,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Given to Fly,Mike McCready,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock, American Trad Rock","Angst-Ridden, Brooding, Amiable/Good-Natured, Autumnal, Bittersweet, Cathartic, Dramatic, Earnest, Literate, Reflective, Searching, Sentimental, Wistful, Yearning","Introspection, Reflection, Regret, Reminiscing",Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Wishlist,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Brooding, Bittersweet, Earnest, Reflective, Searching, Sentimental, Wistful, Yearning","Introspection, Reflection, Regret, Reminiscing",Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Pilate,Jeff Ament,Pop/Rock,"Alternative/Indie Rock, Grunge",Yearning,,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Do the Evolution,"Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Hard Rock","Aggressive, Angst-Ridden, Brooding, Confrontational, Dramatic, Eccentric, Eerie, Epic, Fierce, Gritty, Gutsy, Intense, Passionate, Plaintive, Rousing, Street-Smart, Trippy, Visceral","Cool & Cocky, Empowerment, Freedom, Revolution, Politics/Society",Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Red Bar,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge","Energetic, Quirky",,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
MFC,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Brooding, Confrontational, Earnest, Fiery, Reflective, Searching, Urgent, Visceral, Volatile","Introspection, Reflection",Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Low Light,Jeff Ament,Pop/Rock,"Alternative Pop/Rock, Hard Rock, Alternative/Indie Rock, Grunge","Autumnal, Earnest, Aggressive, Angst-Ridden, Bittersweet, Cathartic, Dramatic, Melancholy, Searching, Visceral, Brooding, Ethereal, Laid-Back/Mellow, Passionate, Poignant, Reflective, Spiritual, Yearning","Empowerment, Revolution",Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
In Hiding,"Stone Gossard, Eddie Vedder",Pop/Rock,"Alternative Pop/Rock, Hard Rock, Alternative/Indie Rock, Grunge","Angst-Ridden, Cathartic, Earnest, Urgent, Visceral, Bittersweet, Dramatic, Energetic, Amiable/Good-Natured, Brooding, Yearning, Raucous","Empowerment, Revolution",Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
"Push Me, Pull Me","Jeff Ament, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge",Yearning,,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
All Those Yesterdays,Stone Gossard,Pop/Rock,"Alternative/Indie Rock, Grunge","Laid-Back/Mellow, Sentimental",Reminiscing,Yield,1998,48:31,Alternative Pop/RockAlternative/Indie RockHard RockGrunge,,Jack Irons Home,"Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Passionate, Plaintive, Poignant, Provocative, Reflective, Reverent, Rollicking, Rousing, Wistful, Cerebral","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",2.5
Last Kiss,Wayne Cochran,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Adult Alternative Pop/Rock, Grunge","Bittersweet, Dramatic, Melancholy, Poignant, Somber, Sentimental, Intimate, Refined, Restrained, Wintry, Angst-Ridden, Gentle, Sad, Brooding, Earnest, Reflective, Yearning","Heartache, Loss/Grief, Winter",Last Kiss,1999,06:09,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,,,,,2.0
Soldier of Love,"Buzz Cason, Tony Moon",Pop/Rock,"Adult Alternative Pop/Rock, Alternative/Indie Rock, Alternative Pop/Rock","Amiable/Good-Natured, Earnest, Exuberant, Sweet, Dramatic, Gentle, Playful, Confident, Rousing, Passionate, Refined, Bittersweet","Affection/Fondness, New Love",Last Kiss,1999,06:09,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,,,,,2.0
Breakerfall,Eddie Vedder,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Cathartic, Fiery, Intense, Outraged, Uncompromising, Visceral, Volatile, Angry, Angst-Ridden, Brooding, Confrontational, Dramatic, Harsh, Menacing, Provocative, Rebellious","Revolution, Introspection, Feeling Blue, In Love",Binaural,2000,51:58,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,,"Studio Litho, Seattle, WA","Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Passionate, Poignant, Reflective, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Provocative, Reverent, Rollicking, Rousing, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",4.0
Gods' Dice,Jeff Ament,Pop/Rock,"Alternative/Indie Rock, Grunge","Aggressive, Yearning",,Binaural,2000,51:58,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,,"Studio Litho, Seattle, WA","Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Passionate, Poignant, Reflective, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Provocative, Reverent, Rollicking, Rousing, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",4.0
Evacuation,"Matt Cameron, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge","Aggressive, Boisterous",Motivation,Binaural,2000,51:58,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,,"Studio Litho, Seattle, WA","Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Passionate, Poignant, Reflective, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Provocative, Reverent, Rollicking, Rousing, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",4.0
Light Years,"Stone Gossard, Mike McCready, Eddie Vedder",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Hard Rock","Angst-Ridden, Brooding, Bittersweet, Earnest, Reflective, Searching, Sentimental, Wistful, Yearning","Introspection, In Love, Loss/Grief, Reflection, Regret, Reminiscing",Binaural,2000,51:58,Alternative Pop/RockAlternative/Indie RockGrungeHard Rock,,"Studio Litho, Seattle, WA","Autumnal, Brooding, Urgent, Aggressive, Angst-Ridden, Bittersweet, Dramatic, Energetic, Melancholy, Searching, Tense/Anxious, Visceral, Yearning, Passionate, Poignant, Reflective, Warm, Angry, Bitter, Brash, Cathartic, Earnest, Fiery, Intense, Provocative, Reverent, Rollicking, Rousing, Wistful, Cerebral, Plaintive","Cool & Cocky, Introspection, Passion, Reflection, Hanging Out, Imagination, Yearning, Night Driving, Rainy Day",4.0
