track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer,track_composers,track_genres,track_styles,track_moods,track_themes,album_duration,album_styles,album_recording_date,album_recording_location,album_moods,album_themes,album_rating,billboard_hot_100_debut_date,billboard_hot_100_peak_pos,billboard_hot_100_peak_date,billboard_hot_100_weaks_on_chart,radio_songs_debut_date,radio_songs_peak_pos,radio_songs_peak_date,radio_songs_weaks_on_chart,hot_rock_&_alternative_songs_debut_date,hot_rock_&_alternative_songs_peak_pos,hot_rock_&_alternative_songs_peak_date,hot_rock_&_alternative_songs_weaks_on_chart,mainstream_rock_airplay_debut_date,mainstream_rock_airplay_peak_pos,mainstream_rock_airplay_peak_date,mainstream_rock_airplay_weaks_on_chart,alternative_airplay_debut_date,alternative_airplay_peak_pos,alternative_airplay_peak_date,alternative_airplay_weaks_on_chart,rock_digital_song_sales_debut_date,rock_digital_song_sales_peak_pos,rock_digital_song_sales_peak_date,rock_digital_song_sales_weaks_on_chart,alternative_digital_song_sales_debut_date,alternative_digital_song_sales_peak_pos,alternative_digital_song_sales_peak_date,alternative_digital_song_sales_weaks_on_chart,hot_rock_songs_debut_date,hot_rock_songs_peak_pos,hot_rock_songs_peak_date,hot_rock_songs_weaks_on_chart,canadian_digital_song_sales_debut_date,canadian_digital_song_sales_peak_pos,canadian_digital_song_sales_peak_date,canadian_digital_song_sales_weaks_on_chart,lyricfind_u.s._debut_date,lyricfind_u.s._peak_pos,lyricfind_u.s._peak_date,lyricfind_u.s._weaks_on_chart
So Close,Alice In Chains,studio album,1995,Alice In Chains,165,0.000183,0.455,0.973,0.083,4,0.109,-5.278,1,0.0565,142.497,4,0.371,"Layne Staley, Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains","Jerry Cantrell, Sean Kinney, Layne Staley",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Alternative Metal, Hard Rock, Heavy Metal","Bleak, Menacing, Ominous, Anguished/Distraught, Brooding, Cathartic, Gloomy, Druggy, Somber, Intense, Visceral, Volatile, Aggressive, Angry, Angst-Ridden, Brash, Confrontational, Theatrical, Nihilistic",Feeling Blue,01:04:48,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Bad Animals, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Destiny, Night Driving, Visions, Empowerment, Guys Night Out, Military, Victory",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothin' Song,Alice In Chains,studio album,1995,Alice In Chains,340,0.00181,0.303,0.805,0.000222,8,0.375,-7.422,1,0.0444,122.365,4,0.283,"Layne Staley, Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains","Jerry Cantrell, Sean Kinney, Layne Staley",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Alternative Metal, Hard Rock, Heavy Metal","Bleak, Menacing, Ominous, Anguished/Distraught, Brooding, Cathartic, Gloomy, Druggy, Somber, Intense, Visceral, Volatile, Aggressive, Angry, Angst-Ridden, Brash, Confrontational, Theatrical, Nihilistic",Reminiscing,01:04:48,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Bad Animals, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Destiny, Night Driving, Visions, Empowerment, Guys Night Out, Military, Victory",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frogs,Alice In Chains,studio album,1995,Alice In Chains,498,0.028,0.388,0.474,0.468,11,0.116,-9.574,1,0.0283,95.183,4,0.0871,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains","Jerry Cantrell, Mike Inez, Sean Kinney, Layne Staley",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Alternative Metal, Hard Rock, Heavy Metal","Bleak, Menacing, Ominous, Anguished/Distraught, Brooding, Cathartic, Gloomy, Druggy, Somber, Intense, Visceral, Volatile, Aggressive, Angry, Angst-Ridden, Brash, Confrontational, Theatrical, Nihilistic","Politics/Society, Reminiscing",01:04:48,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Bad Animals, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Destiny, Night Driving, Visions, Empowerment, Guys Night Out, Military, Victory",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over Now,Alice In Chains,studio album,1995,Alice In Chains,423,0.174,0.481,0.566,0.0743,5,0.355,-10.054,0,0.0342,106.634,4,0.302,"Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains","Jerry Cantrell, Sean Kinney, Layne Staley",Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Alternative Metal, Hard Rock, Heavy Metal","Bleak, Menacing, Ominous, Anguished/Distraught, Brooding, Cathartic, Gloomy, Druggy, Somber, Intense, Visceral, Volatile, Aggressive, Angry, Angst-Ridden, Brash, Confrontational, Theatrical, Nihilistic",,01:04:48,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,"Bad Animals, Seattle, WA","Bleak, Anguished/Distraught, Gloomy, Nihilistic, Aggressive, Angst-Ridden, Brooding, Cathartic, Druggy, Intense, Melancholy, Menacing, Ominous, Somber, Visceral, Wistful, Angry, Hostile, Malevolent, Theatrical","Anger/Hostility, Autumn, Pain, Destiny, Night Driving, Visions, Empowerment, Guys Night Out, Military, Victory",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotten Apple,Jar Of Flies,extended play,1994,Alice In Chains,418,0.215,0.31,0.637,0.116,3,0.0619,-8.595,0,0.037,147.4,4,0.426,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains,"Jerry Cantrell, Mike Inez, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Gloomy, Bleak, Eerie, Ominous, Reflective",,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutshell,Jar Of Flies,extended play,1994,Alice In Chains,259,0.373,0.384,0.561,0.253,3,0.0775,-10.059,0,0.0296,136.136,3,0.159,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains,"Jerry Cantrell, Mike Inez, Sean Kinney, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Gloomy, Bleak, Eerie, Reflective",,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23.21,15,10.23.21,1
I Stay Away,Jar Of Flies,extended play,1994,Alice In Chains,254,0.0452,0.174,0.781,0.00346,6,0.0822,-7.066,1,0.0406,81.37,4,0.276,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains,"Jerry Cantrell, Mike Inez, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Gloomy, Ominous, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Bleak, Eerie, Reflective",,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,,,,,,,,,05.14.94,10,07.02.94,26,,,,,,,,,,,,,,,,,,,,,,,,
No Excuses,Jar Of Flies,extended play,1994,Alice In Chains,255,0.0206,0.527,0.838,0.00062,3,0.07,-6.013,1,0.0323,117.454,4,0.721,Jerry Cantrell,Alice in Chains,Jerry Cantrell,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal, Hard Rock, Alternative Metal, Jangle Pop","Brooding, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Gloomy, Bleak, Eerie, Ominous, Reflective",In Love,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,02.19.94,48,04.23.94,15,,,,,02.12.94,1,03.26.94,26,02.12.94,3,03.19.94,16,,,,,,,,,,,,,,,,,,,,
Whale & Wasp,Jar Of Flies,extended play,1994,Alice In Chains,157,0.926,0.312,0.248,0.866,6,0.188,-10.576,1,0.0311,102.364,4,0.224,Jerry Cantrell,Alice in Chains,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Gloomy, Bleak, Eerie, Ominous, Reflective",,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Follow,Jar Of Flies,extended play,1994,Alice In Chains,262,0.781,0.314,0.37,0.139,1,0.122,-9.921,1,0.0286,116.066,1,0.28,Jerry Cantrell,Alice in Chains,Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Somber, Autumnal, Melancholy, Visceral, Wistful, Gloomy, Bittersweet, Intimate, Poignant, Sentimental, Reflective",,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swing On This,Jar Of Flies,extended play,1994,Alice In Chains,244,0.0438,0.412,0.759,0.0995,5,0.352,-8.045,1,0.0411,129.742,4,0.447,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains,"Jerry Cantrell, Mike Inez, Sean Kinney, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Heavy Metal, Alternative Pop/Rock, Hard Rock, Alternative Metal","Brooding, Somber, Autumnal, Bitter, Melancholy, Visceral, Wistful, Gloomy, Bleak, Eerie, Ominous, Reflective",,30:37,Alternative MetalGrungeHard Rock,"September 7, 1993 - September 14, 1993","London Bridge Studio, Seattle, WA","Autumnal, Bitter, Melancholy, Visceral, Bleak, Brooding, Gloomy, Ominous, Somber, Wistful, Bittersweet, Eerie, Intimate, Reflective","Autumn, Breakup, Introspection",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Them Bones,Dirt,studio album,1992,Alice In Chains,149,0.0235,0.159,0.946,8.06e-06,9,0.387,-5.756,1,0.0629,165.014,1,0.309,Jerry Cantrell,"Dave Jerden, Alice in Chains",Jerry Cantrell,Pop/Rock,"Grunge, Alternative/Indie Rock, Alternative Pop/Rock, Alternative Metal, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dam That River,Dirt,studio album,1992,Alice In Chains,189,0.00636,0.427,0.913,0.0,6,0.471,-5.545,0,0.0804,124.419,4,0.471,Jerry Cantrell,"Dave Jerden, Alice in Chains",Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain When I Die,Dirt,studio album,1992,Alice In Chains,361,0.0183,0.422,0.859,0.000673,9,0.209,-6.778,1,0.0757,120.078,3,0.203,"Layne Staley, Jerry Cantrell, Sean Kinney","Dave Jerden, Alice in Chains","Jerry Cantrell, Sean Kinney, Layne Staley, Mike Starr",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Down In A Hole,Dirt,studio album,1992,Alice In Chains,338,0.0134,0.357,0.795,0.00013,6,0.111,-5.909,1,0.0337,97.171,4,0.416,Jerry Cantrell,"Dave Jerden, Alice in Chains",Jerry Cantrell,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Alternative Metal, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sickman,Dirt,studio album,1992,Alice In Chains,329,0.00743,0.287,0.912,0.00069,1,0.0871,-5.553,1,0.0954,139.106,3,0.274,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains","Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Aggressive, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooster,Dirt,studio album,1992,Alice In Chains,374,0.0307,0.271,0.551,0.000581,3,0.118,-8.46,1,0.0272,143.899,3,0.2,Jerry Cantrell,"Dave Jerden, Alice in Chains",Jerry Cantrell,Pop/Rock,"Alternative Metal, Alternative Pop/Rock, Alternative/Indie Rock, Grunge, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Bleak, Cathartic, Gloomy, Hostile, Ominous, Somber, Brooding, Confrontational, Visceral, Nihilistic, Volatile, Angry, Calm/Peaceful, Melancholy, Menacing, Sentimental, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junkhead,Dirt,studio album,1992,Alice In Chains,309,0.0013,0.298,0.776,0.000271,11,0.096,-7.171,1,0.0376,140.453,4,0.245,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains","Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirt,Dirt,studio album,1992,Alice In Chains,316,0.00323,0.258,0.926,5.15e-06,1,0.13,-5.901,1,0.0761,112.643,4,0.251,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains","Jerry Cantrell, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Volatile, Angry, Gloomy, Melancholy, Somber, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God Smack,Dirt,studio album,1992,Alice In Chains,230,0.0138,0.515,0.928,0.0,10,0.107,-6.392,0,0.0694,124.058,4,0.389,,,"Jerry Cantrell, Mike Inez, Sean Kinney, Layne Staley",Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untitled,Dirt,studio album,1992,Alice In Chains,43,0.401,0.11,0.424,0.269,3,0.658,-7.243,1,0.0408,85.946,1,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hate To Feel,Dirt,studio album,1992,Alice In Chains,316,0.115,0.293,0.909,0.0,8,0.0512,-5.394,1,0.0955,138.561,4,0.114,Layne Staley,"Dave Jerden, Alice in Chains",Layne Staley,Pop/Rock,"Alternative/Indie Rock, Grunge, Alternative Pop/Rock, Heavy Metal, Alternative Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Brash, Nihilistic, Volatile, Angry, Gloomy, Menacing, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angry Chair,Dirt,studio album,1992,Alice In Chains,287,0.0419,0.325,0.936,0.0,8,0.0415,-6.295,1,0.0848,106.988,4,0.159,Layne Staley,"Dave Jerden, Alice in Chains",Layne Staley,Pop/Rock,"Grunge, Alternative/Indie Rock, Alternative Pop/Rock, Alternative Metal, Heavy Metal, Hard Rock","Anguished/Distraught, Angst-Ridden, Hostile, Ominous, Brooding, Confrontational, Visceral, Bleak, Nihilistic, Volatile, Angry, Eerie, Gloomy, Menacing, Paranoid, Druggy",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Would?,Dirt,studio album,1992,Alice In Chains,206,0.000327,0.305,0.833,2.36e-05,6,0.091,-7.981,1,0.0398,100.675,4,0.586,Jerry Cantrell,"Alice in Chains, Parashar",Jerry Cantrell,Pop/Rock,"Alternative Metal , Grunge , Alternative/Indie Rock, Alternative Pop/Rock, Hard Rock, Heavy Metal","Anguished/Distraught, Brooding, Bleak, Hostile, Intense, Menacing, Ominous, Angry, Angst-Ridden, Cathartic, Confrontational, Visceral, Nihilistic, Volatile, Cold, Gloomy, Somber, Druggy, Aggressive, Eerie",,57:35,Alternative MetalAlternative Pop/RockAlternative/Indie RockGrungeHard RockHeavy Metal,,,"Angst-Ridden, Anguished/Distraught, Gloomy, Bittersweet, Aggressive, Angry, Bitter, Bleak, Brooding, Cathartic, Druggy, Hostile, Melancholy, Nihilistic, Ominous","Anger/Hostility, Autumn, Pain, Conflict, Introspection, Loneliness, Relationships, Death, Destiny, Doubt, Heartache, Night Driving, Reflection, Struggle, Visions, Despair, Longing, Rainy Day, Regret, Sorrow, Tragedy, Drugs, Politics/Society, Temptation, Victory",4.5,,,,,,,,,,,,,08.08.92,19,12.14.96,26,,,,,,,,,,,,,,,,,,,,,,,,
